,Well,X,Y,NTG
0,201-901,201,901,0.2676189100619369
1,201-902,201,902,0.26122722475213295
2,201-903,201,903,0.25054987247032445
3,201-904,201,904,0.23949270439348444
4,201-905,201,905,0.2340900890651731
5,201-906,201,906,0.22084153809193077
6,201-908,201,908,0.22089274946696777
7,201-909,201,909,0.2426977903286541
8,201-910,201,910,0.2630401774098613
9,201-911,201,911,0.28486018975212346
10,201-912,201,912,0.31139362053143144
11,201-913,201,913,0.33637289048051705
12,201-915,201,915,0.3666725722518848
13,201-916,201,916,0.3739319260835751
14,201-917,201,917,0.3861451344240384
15,201-918,201,918,0.3938963638905284
16,201-919,201,919,0.39886200527279625
17,201-920,201,920,0.4100456828259451
18,201-921,201,921,0.4227044471140312
19,201-922,201,922,0.43304415132811386
20,201-923,201,923,0.4368404006126208
21,201-925,201,925,0.42001757697410047
22,201-926,201,926,0.4052585564706631
23,201-927,201,927,0.3908835889491374
24,201-928,201,928,0.3790271073586861
25,201-929,201,929,0.36869808835678014
26,201-930,201,930,0.35816576803671846
27,202-901,202,901,0.27105000620698155
28,202-902,202,902,0.26314026335420587
29,202-903,202,903,0.24891477947308424
30,202-904,202,904,0.2403186528824754
31,202-905,202,905,0.23678245489996513
32,202-906,202,906,0.2313718467772246
33,202-907,202,907,0.21702357151620522
34,202-908,202,908,0.22057764750829884
35,202-909,202,909,0.23827850127070754
36,202-910,202,910,0.25727161917387176
37,202-911,202,911,0.2801755445743435
38,202-912,202,912,0.30541024229164154
39,202-913,202,913,0.3281984872914686
40,202-914,202,914,0.34678776916377213
41,202-915,202,915,0.3563581855991245
42,202-916,202,916,0.36400471336277757
43,202-917,202,917,0.3744219263199142
44,202-918,202,918,0.37835764987339515
45,202-919,202,919,0.3904123339063339
46,202-920,202,920,0.4034698550280556
47,202-921,202,921,0.41561190987381774
48,202-923,202,923,0.4257546256189885
49,202-924,202,924,0.4199406427986225
50,202-926,202,926,0.399908808727664
51,202-927,202,927,0.3858384710228823
52,202-928,202,928,0.3709083361564827
53,202-929,202,929,0.3564321041345431
54,202-930,202,930,0.34645414682581605
55,203-901,203,901,0.26847889702486044
56,203-903,203,903,0.24150317349049355
57,203-904,203,904,0.22964856554978952
58,203-905,203,905,0.23286084156838172
59,203-907,203,907,0.2208261614300149
60,203-908,203,908,0.22071878787364813
61,203-909,203,909,0.23867547198568187
62,203-910,203,910,0.2569092757250068
63,203-911,203,911,0.2791838475186732
64,203-912,203,912,0.2998352774984683
65,203-913,203,913,0.319510727481424
66,203-914,203,914,0.33377324708364214
67,203-915,203,915,0.3424090923795554
68,203-916,203,916,0.35135817780219025
69,203-917,203,917,0.36273568624808583
70,203-918,203,918,0.36858391510456784
71,203-919,203,919,0.37916864898057584
72,203-920,203,920,0.39228618623084655
73,203-921,203,921,0.39897578980949683
74,203-922,203,922,0.40330616115682266
75,203-923,203,923,0.4054571711786369
